code,Commodities/Industries,11,21,22,23,31G,42,44RT,48TW,51,FIRE,PROF,6,7,81,G
code,Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government
11,"Agriculture, forestry, fishing, and hunting",108155,88,---,1563,240803,30,1418,11,---,4,2700,141,8468,68,6240
21,Mining,1422,32918,12371,16085,196547,16,5,113,1402,22,2239,464,1169,995,17394
22,Utilities,11131,8599,26097,11464,66983,13557,40276,11146,14759,40838,17691,19453,26016,6476,42695
23,Construction,1816,4230,5424,391,22389,3726,9185,7244,4006,131465,5677,3676,5475,3897,106990
31G,Manufacturing,73054,42096,10804,421178,1694872,90479,54713,69278,75034,60852,183450,199744,95551,40335,378460
42,Wholesale trade,46459,12342,5788,103163,382619,54801,33150,22856,27280,30848,47917,56750,24608,10161,79833
44RT,Retail trade,2240,522,2676,95934,19088,554,6000,12480,376,7367,6477,705,10621,5024,242
48TW,Transportation and warehousing,14294,12193,20371,32833,166132,98605,81237,164475,19357,42066,65348,26440,11901,4251,78769
51,Information,892,744,5383,9934,21213,16380,28996,8240,254080,75289,115142,26949,24588,10535,169933
FIRE,"Finance, insurance, real estate, rental, and leasing",17520,29032,19851,59258,113594,179004,209344,137044,123649,1518013,398627,276102,143051,84801,87411
PROF,Professional and business services,4537,37767,30656,95529,235973,313235,213509,77047,270896,638478,719962,273653,147240,59077,385432
6,"Educational services, health care, and social assistance",2,---,91,4,24,1356,3809,87,132,55,524,31100,2385,1735,23486
7,"Arts, entertainment, recreation, accommodation, and food services",518,322,2000,1185,5169,10564,7561,4805,36282,80655,62447,45990,31744,2478,18382
81,"Other services, except government",418,401,774,6751,14695,15179,12365,13836,7530,35129,41460,18426,11287,5270,59514
G,Government,19,2,807,10,4807,20583,9459,8546,3104,13647,9989,7245,9126,1179,16233
