code,Commodities/Industries,11,21,22,23,31G,42,44RT,48TW,51,FIRE,PROF,6,7,81,G
Code,Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government
11,"Agriculture, forestry, fishing, and hunting",112936,127,---,1479,250482,49,1904,28,---,6,3227,201,10158,99,6022
21,Mining,1217,48624,16569,15105,310750,20,5,156,1136,19,2229,536,1762,1154,22652
22,Utilities,9645,12205,28786,9347,74191,15761,40028,12664,12027,53772,17111,22105,34665,7496,35489
23,Construction,1512,5937,6052,260,21786,3578,7565,6885,3432,127796,4216,3224,7875,3506,102917
31G,Manufacturing,70540,63559,18314,398010,1886205,102494,47565,123551,73415,74888,180394,213481,135628,62582,406492
42,Wholesale trade,44256,16619,6813,95881,417226,59680,27087,30245,28077,33091,45338,61001,38183,14786,78362
44RT,Retail trade,1734,712,3228,83469,19135,504,4884,12861,301,6808,5359,712,9782,7556,259
48TW,Transportation and warehousing,14227,14104,22648,30433,182982,111520,71655,167974,20077,63423,73856,31493,18307,5640,91034
51,Information,871,1446,7136,8645,23698,19942,28691,11896,253097,75062,111871,31698,30657,14773,151343
FIRE,"Finance, insurance, real estate, rental, and leasing",15016,43356,23940,52577,115486,202600,219234,155977,109223,1406904,387381,280021,171747,94490,84543
PROF,Professional and business services,3970,54413,40493,79172,239862,350241,199699,99923,243058,618128,711783,292445,178183,68451,336064
6,"Educational services, health care, and social assistance",2,---,120,4,24,1626,3299,215,125,43,578,30596,3279,2095,22397
7,"Arts, entertainment, recreation, accommodation, and food services",500,863,3759,1156,7348,15675,8488,12577,52195,108240,78932,61193,52627,4017,22507
81,"Other services, except government",426,865,1325,6592,16813,19763,13406,15709,7857,53094,44037,22914,15435,6960,42899
G,Government,14,3,940,8,5298,21537,8025,8914,2570,12267,9320,7179,9821,1754,14218
